Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Deccan Chargers,HH Gibbs,AC Gilchrist,DW Steyn,0,0
1,0.2,Deccan Chargers,HH Gibbs,AC Gilchrist,DW Steyn,0,0
1,0.3,Deccan Chargers,HH Gibbs,AC Gilchrist,DW Steyn,1,0
1,0.4,Deccan Chargers,AC Gilchrist,HH Gibbs,DW Steyn,0,0
1,0.5,Deccan Chargers,TL Suman,HH Gibbs,DW Steyn,0,0
1,0.6,Deccan Chargers,RG Sharma,HH Gibbs,DW Steyn,0,0
1,1.1,Deccan Chargers,HH Gibbs,RG Sharma,R Vinay Kumar,0,0
1,1.2,Deccan Chargers,HH Gibbs,RG Sharma,R Vinay Kumar,0,0
1,1.3,Deccan Chargers,HH Gibbs,RG Sharma,R Vinay Kumar,6,0
1,1.4,Deccan Chargers,HH Gibbs,RG Sharma,R Vinay Kumar,1,0
1,1.5,Deccan Chargers,RG Sharma,HH Gibbs,R Vinay Kumar,0,2
1,1.6,Deccan Chargers,RG Sharma,HH Gibbs,R Vinay Kumar,0,0
1,2.1,Deccan Chargers,HH Gibbs,RG Sharma,DW Steyn,4,0
1,2.2,Deccan Chargers,HH Gibbs,RG Sharma,DW Steyn,0,0
1,2.3,Deccan Chargers,HH Gibbs,RG Sharma,DW Steyn,0,0
1,2.4,Deccan Chargers,MD Mishra,RG Sharma,DW Steyn,0,1
1,2.5,Deccan Chargers,MD Mishra,RG Sharma,DW Steyn,0,0
1,2.6,Deccan Chargers,MD Mishra,RG Sharma,DW Steyn,0,0
1,2.7,Deccan Chargers,MD Mishra,RG Sharma,DW Steyn,1,0
1,3.1,Deccan Chargers,MD Mishra,RG Sharma,R Vinay Kumar,1,0
1,3.2,Deccan Chargers,RG Sharma,MD Mishra,R Vinay Kumar,0,0
1,3.3,Deccan Chargers,RG Sharma,MD Mishra,R Vinay Kumar,0,0
1,3.4,Deccan Chargers,RG Sharma,MD Mishra,R Vinay Kumar,2,0
1,3.5,Deccan Chargers,RG Sharma,MD Mishra,R Vinay Kumar,0,0
1,3.6,Deccan Chargers,RG Sharma,MD Mishra,R Vinay Kumar,1,0
1,4.1,Deccan Chargers,RG Sharma,MD Mishra,DW Steyn,0,2
1,4.2,Deccan Chargers,RG Sharma,MD Mishra,DW Steyn,0,0
1,4.3,Deccan Chargers,RG Sharma,MD Mishra,DW Steyn,1,0
1,4.4,Deccan Chargers,MD Mishra,RG Sharma,DW Steyn,0,0
1,4.5,Deccan Chargers,MD Mishra,RG Sharma,DW Steyn,1,0
1,4.6,Deccan Chargers,RG Sharma,MD Mishra,DW Steyn,4,0
1,5.1,Deccan Chargers,MD Mishra,RG Sharma,JH Kallis,0,0
1,5.2,Deccan Chargers,MD Mishra,RG Sharma,JH Kallis,2,0
1,5.3,Deccan Chargers,MD Mishra,RG Sharma,JH Kallis,4,0
1,5.4,Deccan Chargers,MD Mishra,RG Sharma,JH Kallis,1,0
1,5.5,Deccan Chargers,RG Sharma,MD Mishra,JH Kallis,0,0
1,5.6,Deccan Chargers,RG Sharma,MD Mishra,JH Kallis,0,0
1,6.1,Deccan Chargers,MD Mishra,RG Sharma,A Kumble,1,0
1,6.2,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,1,0
1,6.3,Deccan Chargers,MD Mishra,RG Sharma,A Kumble,1,0
1,6.4,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,4,0
1,6.5,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,0,0
1,6.6,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,1,0
1,7.1,Deccan Chargers,RG Sharma,MD Mishra,V Kohli,1,0
1,7.2,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,0,0
1,7.3,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,0,0
1,7.4,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,1,0
1,7.5,Deccan Chargers,RG Sharma,MD Mishra,V Kohli,1,0
1,7.6,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,1,0
1,8.1,Deccan Chargers,MD Mishra,RG Sharma,A Kumble,1,0
1,8.2,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,0,0
1,8.3,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,1,1
1,8.4,Deccan Chargers,MD Mishra,RG Sharma,A Kumble,0,0
1,8.5,Deccan Chargers,MD Mishra,RG Sharma,A Kumble,6,0
1,8.6,Deccan Chargers,MD Mishra,RG Sharma,A Kumble,1,0
1,8.7,Deccan Chargers,RG Sharma,MD Mishra,A Kumble,2,0
1,9.1,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,0,0
1,9.2,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,6,0
1,9.3,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,2,0
1,9.4,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,2,0
1,9.5,Deccan Chargers,MD Mishra,RG Sharma,V Kohli,1,0
1,9.6,Deccan Chargers,RG Sharma,MD Mishra,V Kohli,1,0
1,10.1,Deccan Chargers,RG Sharma,MD Mishra,KP Appanna,2,0
1,10.2,Deccan Chargers,RG Sharma,MD Mishra,KP Appanna,0,0
